120,44.36,0.369666667
120,0.04,0.000333333
120,0.11,0.000916667
120,0.33,0.00275
120,0.58,0.004833333
120,1.43,0.011916667
120,0.96,0.008
120,1.82,0.015166667
120,0.52,0.004333333
120,1.22,0.010166667
120,2.07,0.01725
120,3.54,0.0295
120,2.4,0.02
120,5.68,0.047333333
120,4.32,0.036
120,9.26,0.077166667
120,6.57,0.05475
120,15.75,0.13125
120,15.8,0.131666667
120,44.36,0.369666667
120,21.28,0.177333333
120,43.88,0.365666667
180,0.05,0.000277778
180,0.1,0.000555556
180,0.075,0.000416667
180,0.1,0.000555556
180,0.25,0.001388889
180,0.075,0.000416667
180,0.15,0.000833333
180,0.402,0.002233333
180,0.552,0.003066667
180,0.13,0.000722222
180,1.07,0.005944444
180,0.42,0.002333333
180,0.55,0.003055556
180,1.28,0.007111111
180,0.88,0.004888889
180,2.679,0.014883333
180,3.1,0.017222222
180,1.071,0.00595
180,1.5,0.008333333
180,4.5,0.025
180,3.1,0.017222222
180,2.15,0.011944444
180,2.75,0.015277778
180,7.5,0.041666667
180,3.5,0.019444444
180,9.2,0.051111111
180,4.5,0.025
180,9.2,0.051111111
180,5.518,0.030655556
180,10.45,0.058055556
180,10.446,0.058033333
180,7.5,0.041666667
180,12.86,0.071444444
180,17.14,0.095222222
180,21,0.116666667
180,22.5,0.125
180,17.14,0.095222222
180,34.28,0.190444444
180,42.86,0.238111111
180,28,0.155555556
180,34.29,0.1905
225,0.099,0.00044
225,0.56,0.002488889
225,1.2,0.005333333
225,2,0.008888889
225,2.5,0.011111111
225,4.9,0.021777778
225,10,0.044444444
225,14,0.062222222
225,21,0.093333333
225,34,0.151111111
270,0.042,0.000155556
270,0.12,0.000444444
270,0.049,0.000181481
270,0.234,0.000866667
270,0.33,0.001222222
270,0.079,0.000292593
270,0.48,0.001777778
270,0.29,0.001074074
270,0.125,0.000462963
270,0.9,0.003333333
270,0.5,0.001851852
270,1.275,0.004722222
270,0.68,0.002518519
270,2.3,0.008518519
270,0.93,0.003444444
270,1.4,0.005185185
270,4.1,0.015185185
270,2.143,0.007937037
270,5,0.018518519
270,2.4,0.008888889
270,4.2,0.015555556
270,5.1,0.018888889
270,12,0.044444444
270,7.5,0.027777778
270,16,0.059259259
270,12,0.044444444
270,28,0.103703704
270,16,0.059259259
270,12,0.044444444
270,28,0.103703704
270,16,0.059259259
270,22.5,0.083333333
270,40,0.148148148
270,42.86,0.158740741
90,0.05,0.000555556
90,0.072,0.0008
90,0.125,0.001388889
90,0.15,0.001666667
90,0.28,0.003111111
90,0.15,0.001666667
90,0.402,0.004466667
90,0.67,0.007444444
90,0.879,0.009766667
90,1.437,0.015966667
90,1.071,0.0119
90,2.143,0.023811111
90,0.55,0.006111111
90,2.679,0.029766667
90,1.28,0.014222222
90,3.107,0.034522222
90,2.15,0.023888889
90,3.509,0.038988889
90,4.5,0.05
90,4.5,0.05
90,5.518,0.061311111
90,7.9,0.087777778
90,5.5,0.061111111
90,10.446,0.116066667
90,12.86,0.142888889
90,7.5,0.083333333
90,17.14,0.190444444
90,21,0.233333333
90,22.47,0.249666667
90,17.14,0.190444444
90,28,0.311111111
90,34.29,0.381
90,42.86,0.476222222
90,40,0.444444444
90,17.14,0.190444444
90,21,0.233333333
90,32,0.355555556
90,28,0.311111111
90,40,0.444444444
315,0.096,0.000304762
315,0.2,0.000634921
315,0.33,0.001047619
315,0.56,0.001777778
315,0.92,0.002920635
315,1.4,0.004444444
315,1.9,0.006031746
315,3.3,0.01047619
315,4.9,0.015555556
315,10,0.031746032
315,12,0.038095238
315,16,0.050793651
315,21,0.066666667
315,25,0.079365079
315,34,0.107936508
315,42,0.133333333
360,0.044,0.000122222
360,0.086,0.000238889
360,0.14,0.000388889
360,0.19,0.000527778
360,0.234,0.00065
360,0.5,0.001388889
360,0.15,0.000416667
360,0.75,0.002083333
360,0.94,0.002611111
360,1.5,0.004166667
360,2,0.005555556
360,2.4,0.006666667
360,3.2,0.008888889
360,4.2,0.011666667
360,5.52,0.015333333
360,6.6,0.018333333
360,8.2,0.022777778
360,9.2,0.025555556
360,12,0.033333333
360,16,0.044444444
360,42.86,0.119055556
